Source,ParentUrl,Url,Depth,Title,StatusCode,ContentType,LoadTimeSeconds,WordCount
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/dania-miesne",0,"Co na obiad | AniaGotuje.pl",200,"text/html",196.63,4367
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/ciasta-i-torty",1,"Ciasta | AniaGotuje.pl",200,"text/html",39.39,4694
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/",1,"Ania Gotuje | Tylko najlepsze przepisy",200,"text/html",47.97,4776
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/info/wspolpraca",1,"Ania Gotuje - Współpraca",200,"text/html",42.58,1907
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/user/login",1,"Logowanie | AniaGotuje.pl",200,"text/html",48.27,1442
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/ciasteczka",1,"Ciasteczka | AniaGotuje.pl",200,"text/html",90.73,4285
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/desery",1,"Desery | AniaGotuje.pl",200,"text/html",69.80,4467
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/babeczki-i-muffiny",1,"Babeczki | AniaGotuje.pl",200,"text/html",66.48,4444
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/paczki-i-oponki",1,"Proste przepisy na pączki | AniaGotuje.pl",200,"text/html",63.42,4149
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/serniki",1,"Serniki | AniaGotuje.pl",200,"text/html",68.66,4461
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/nalesniki-i-placki",1,"Naleśniki, placki i racuchy | AniaGotuje.pl",200,"text/html",95.08,4473
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/chleby-i-bulki",1,"Przepisy na chleb | AniaGotuje.pl",200,"text/html",52.65,4589
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/dania-bez-miesa",1,"Obiad bez mięsa | AniaGotuje.pl",200,"text/html",65.30,4491
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/dania-rybne",1,"Ryby przepisy | AniaGotuje.pl",200,"text/html",67.33,4180
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/dania-na-slodko",1,"Dania na słodko | AniaGotuje.pl",200,"text/html",70.70,4058
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/zupy",1,"Zupy | AniaGotuje.pl",200,"text/html",45.82,4387
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/salatki-i-surowki",1,"Sałatki | AniaGotuje.pl",200,"text/html",45.97,4489
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/sosy-i-pasty",1,"Przepisy na sosy | AniaGotuje.pl",200,"text/html",69.90,4217
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/przekaski",1,"Przekąski na imprezę | AniaGotuje.pl",200,"text/html",43.64,4621
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/przetwory",1,"Przetwory | AniaGotuje.pl",200,"text/html",77.42,4750
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/napoje-i-koktajle",1,"Koktajle | AniaGotuje.pl",200,"text/html",67.81,4849
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/drinki-i-nalewki",1,"Drinki i nalewki | AniaGotuje.pl",200,"text/html",43.91,4128
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/lody-domowe",1,"Lody domowe | AniaGotuje.pl",200,"text/html",43.71,4572
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/przepisy/porady",1,"Triki kuchenne | AniaGotuje.pl",200,"text/html",76.74,3827
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/pomysl-na/sniadanie",1,"Pomysł na śniadanie | AniaGotuje.pl",200,"text/html",64.98,4443
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/pomysl-na/obiad",1,"Pomysł na obiad | AniaGotuje.pl",200,"text/html",123.83,4432
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/pomysl-na/kolacja",1,"Pomysł na kolację | AniaGotuje.pl",200,"text/html",67.60,4248
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/okazja/halloween",1,"Jedzenia na halloween | AniaGotuje.pl",200,"text/html",78.87,4036
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/okazja/sylwester",1,"Przepisy na Sylwestra | AniaGotuje.pl",200,"text/html",61.80,4244
"Google","https://aniagotuje.pl/przepisy/dania-miesne","https://aniagotuje.pl/okazja/tlusty-czwartek",1,"Tłusty Czwartek | AniaGotuje.pl",200,"text/html",66.09,4553
"Google","https://www.przepisy.pl/przepisy/dania-i-przekaski/dania-glowne/dania-z-miesem","https://www.przepisy.pl/przepisy/dania-i-przekaski/dania-glowne/dania-z-miesem",0,"",403,"text/html",238.10,0
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/",0,"Przepisy na dania mięsne na gorąco i z piekarnika - Po Prostu Pycha",200,"text/html",780.88,9606
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/",1,"Po Prostu Pycha - Sprawdzone przepisy kulinarne - Blog kulinarny",200,"text/html",84.71,7089
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/search/nale%C5%9Bniki",1,"Wyniki wyszukiwania 'naleśniki' - Po Prostu Pycha",200,"text/html",63.02,8432
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/search/pizza",1,"Wyniki wyszukiwania 'pizza' - Po Prostu Pycha",200,"text/html",63.11,8830
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/ulubione/",1,"Logowanie - Po Prostu Pycha",200,"text/html",402.01,5244
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/search/sernik",1,"Wyniki wyszukiwania 'sernik' - Po Prostu Pycha",200,"text/html",54.33,8593
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/login/",1,"Logowanie - Po Prostu Pycha",200,"text/html",46.30,5554
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/popularne/",1,"Popularne - Przepisy od Po Prostu Pycha",200,"text/html",92.33,8753
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/slodkosci/",1,"Przepisy na słodkości i ciasta - Po Prostu Pycha",200,"text/html",621.54,10002
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/slodkosci/babeczki-i-muffiny/",1,"Przepisy na babeczki i muffiny - Po Prostu Pycha",200,"text/html",43.97,9238
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/slodkosci/ciasta/bez-pieczenia/",1,"Proste przepisy bez pieczenia na ciasta i desery - Po Prostu Pycha",200,"text/html",598.67,9975
"Google","https://poprostupycha.com.pl/przepisy/obiady/dania-miesne/","https://poprostupycha.com.pl/przepisy/slodkosci/bezy/",1,"Bezy - Przepisy od Po Prostu Pycha",200,"text/html",50.15,6723
